Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
coloniae,"caes0003-6, caes0044-1, caes0122-4",colonia,NOUN,w-coloniae,,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
coniugi,"caes0148-2, caes0160-4",coniux,NOUN,w-coniugi,,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
Constans,"caes0146-10, megi0002-24",constans,PROPN,w-constans,,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantio,caes0017-8,Constantius,PROPN,w-constantio,,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constantis,"caes0146-10, megi0002-24",constans,ADJ,w-constantis,,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantius,yotv0001-9,constantius,PROPN,w-constantius,,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constituerunt,yotv0001-17,constituo,VERB,w-constituerunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consul,"achz0001-16, caes0027-9, caes0107-17, jeru0554-18, tsha0002-20, unkn0130-18, unkn0131-20",consul,NOUN,w-consul,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consularis,caes0030-3,consularis,ADJ,w-consularis,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consuli,"achz0001-16, caes0027-9, caes0107-17, jeru0554-18, tsha0002-20, unkn0130-18, unkn0131-20",consul,NOUN,w-consuli,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consultissimo,"caes0014-3, caes0017-3",consuls,ADJ,w-consultissimo,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
conubium,unkn0130-94,connubium,NOUN,w-conubium,,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
cum,yotv0001-15,cum,ADP,w-cum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumana,masa0825-2,Cimanus,ADJ,w-cumana,,,,y,m,other,Cimanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
curatori,caes0035-8,curator,NOUN,w-curatori,,,,,,,,,y,military,curator,,,,,,,,,,,,,,,,,,,,,,,
curiarum,maay0001-6,curia,NOUN,w-curiarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,building,,,,,
custodiarum,caes0682-5,custodia,NOUN,w-custodiarum,,,,,,,,,y,military,curator,y,rank,,,,,,,,,,,,,,,,,,,,,
Cyrenaicae,caes0035-7,Cyrenaicus,ADJ,w-cyrenaicae,,,,,,,,,,,,y,unitname,y,Cyrenaean,,,,,,,,,,,,,,,,,,,
d,masa0941-23,d,X,w-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damas,caes0146-22,Damas,PROPN,w-damas,,,,y,m,other,Damas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damascena,unkn0130-48,Damascena,NOUN,w-damascena,,,,,,,,,,,,y,unitname,,,,,y,Damascus,https://pleiades.stoa.org/places/678106,,,,,,,,,,,,,,
de,"caes0037-6, tsha0001-9",de,ADP,w-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decreto,"caes0003-13, caes0010-12, caes0011-11, caes0122-10, jeru0497-13",decretum,NOUN,w-decreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decurione,"caes0003-14, caes0010-13, caes0010-22, caes0122-11, jeru0497-14",decurio,NOUN,w-decurione,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
